ID,AG,Gender,Scale,Relationship,sleep_hours,How_you_are_feeling?,How_do_you_describe_your_current_mood?,How_often_do_you_take_caffeine,Do_you_face_trouble_concentrating_or_focusing_on_stuffs?,Overthinking_a_lot_about_the_things_surrounding_us?
526,2,1,4,2,2,3,3,2,3,3
527,2,1,3,1,2,4,1,4,1,5
528,2,2,5,2,2,1,2,1,3,3
529,2,1,5,1,2,2,2,1,3,2
530,2,1,3,2,3,3,3,4,3,3
531,2,2,3,2,4,1,3,2,1,5
532,2,1,1,2,3,1,4,4,1,5
533,2,1,3,2,3,4,2,4,3,3
534,1,1,3,1,3,3,3,3,3,2
535,2,1,5,1,3,2,2,4,3,3
536,2,2,4,1,2,1,3,3,3,5
537,1,2,4,1,3,1,3,4,1,2
538,2,1,2,2,2,1,1,2,1,5
539,1,2,3,2,3,1,3,1,3,2
540,2,1,4,2,3,1,3,4,3,3
541,2,1,5,2,3,3,2,1,3,3
542,2,1,4,2,2,2,3,4,3,3
543,2,1,1,2,3,1,4,4,3,3
544,2,1,3,2,3,1,4,4,1,3
545,2,2,4,1,3,2,2,2,3,4
546,2,1,1,4,4,4,1,4,1,5
547,2,1,3,2,3,1,1,1,3,3
548,5,4,1,3,1,4,4,4,2,5
549,1,1,3,2,4,3,2,4,3,2
550,2,1,3,2,3,2,2,1,3,4
551,2,2,3,2,3,1,3,3,3,3
552,2,1,4,2,3,4,3,3,2,4
553,2,1,4,2,2,4,3,2,3,5
554,2,1,4,2,4,4,1,4,3,5
555,2,1,5,2,3,3,2,2,2,4
556,2,1,1,2,3,4,4,2,1,5
557,3,1,5,1,3,3,2,3,3,4
558,2,1,3,2,3,1,4,3,3,4
559,5,1,5,5,1,2,2,4,2,4
560,3,1,4,2,2,1,3,1,3,2
561,2,1,4,2,3,2,2,2,3,2
562,4,2,5,5,3,2,2,4,3,4
563,3,1,4,2,3,4,2,3,3,3
564,2,1,4,2,3,1,4,3,2,5
565,2,1,3,2,2,1,3,1,1,1
566,2,1,4,2,2,2,2,2,3,2
567,2,1,5,1,3,3,2,1,3,4
568,2,1,5,1,3,3,2,1,3,4
569,2,1,4,2,3,4,3,1,1,2
570,2,2,3,2,3,4,2,1,3,3
571,2,2,5,2,3,1,2,1,3,4
572,2,2,5,1,3,4,4,3,3,3
573,2,1,4,2,3,3,2,4,3,2
574,2,3,3,3,3,3,3,2,3,3
575,2,1,4,2,3,2,3,2,3,4
576,2,1,4,2,3,4,2,1,1,2
577,2,1,3,2,2,1,3,4,3,2
578,2,1,3,2,2,1,3,4,3,2
579,2,2,3,2,3,4,3,1,3,5
580,1,2,3,2,3,1,2,2,1,2
581,2,2,4,2,3,1,3,1,3,4
582,2,2,4,2,3,4,1,4,3,2
583,1,1,3,2,4,1,4,2,3,2
584,2,2,3,2,3,3,3,1,3,4
585,3,1,5,2,3,3,2,1,3,3
586,2,2,3,2,3,1,3,3,1,2
587,2,1,2,2,3,1,1,4,3,2
588,2,2,4,2,3,2,2,1,3,3
589,2,1,5,2,3,2,2,4,3,5
590,1,2,5,2,2,1,3,1,3,2
591,2,1,4,2,3,2,2,4,2,4
